Dấu thời gian,Giới tính,Năm học hiện tại,Kinh nghiệm sử dụng công cụ số trong học tập ,Trường của bạn nằm ở vùng nào,Tôi hiểu rõ khái niệm và tầm quan trọng của chuyển đổi số trong học tập ngành ngôn ngữ.,Tôi nhận thấy chuyển đổi số mang lại nhiều lợi ích cho người học.,Tôi thấy rất dễ dàng để thực hiện chuyển đổi số trong học tập chuyên ngành của mình.,Nhà trường có chính sách rõ ràng để khuyến khích và thúc đẩy sinh viên thực hiện chuyển đổi số trong học tập,Nhà trường cung cấp đầy đủ tài liệu và chương trình đào tạo liên quan đến chuyển đổi số.,"Tôi có cơ hội tham gia các khóa học, các hội thảo về thực hiện chuyển đổi số trong học tập do trường tổ chức.",Giảng viên của tôi khi lên lớp có lồng ghép kiến thức về chuyển đổi số vào bài giảng.,"Giảng viên, bạn bè khuyến khích tôi ứng dụng công nghệ vào các hoạt động học tập.","Tôi có đủ thiết bị (máy tính, Internet…) và công cụ để ứng dụng công nghệ số trong học tập và công việc","Tôi được tiếp cận nền tảng, công cụ học trực tuyến (LMS, MOOCs, v.v.)",Tôi có thể sử dụng thành thạo các công cụ số  để ứng dụng trong học tập chuyên ngành của mình.,Tôi dễ dàng tiếp cận các công cụ số hỗ trợ cho công việc học tập.,Tôi sẵn sàng sử dụng công nghệ một cách thường xuyên trong học tập để thích ứng với chuyển đổi số.,Tôi thường xuyên cập nhật thông tin về xu hướng chuyển đổi số trong chuyên ngành của mình.,Tôi sẵn sàng học thêm kỹ năng số để nâng cao chất lượng học tập.,Tôi ủng hộ việc thực hiện chuyển đổi số trong dạy và học chuyên ngành ngôn ngữ.,Tôi sẵn sàng giới thiệu các công cụ số ứng dụng trong học tập cho các bạn học khác.,Tôi sẵn sàng chia sẻ kỹ năng số của mình cho các bạn học.
4/8/2025 11:11:38,Nam,Năm thứ hai,Trên 3 năm,Miền Bắc,5,5,3,4,3,3,4,5,5,4,3,5,5,5,5,5,5,5
4/8/2025 12:01:06,Nữ,Năm thứ tư,Trên 3 năm,Miền Trung,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 12:01:29,Nữ,Năm thứ nhất,Dưới 1 năm,Miền Trung,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 12:01:32,Nữ,Năm thứ tư,1 - 3 năm,Miền Trung,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
4/8/2025 12:01:39,Nữ,Năm thứ nhất,Dưới 1 năm,Miền Trung,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 12:01:42,Nữ,Năm thứ nhất,1 - 3 năm,Miền Trung,3,4,3,4,4,4,4,5,4,4,3,4,3,3,4,5,4,4
4/8/2025 12:01:48,Nữ,Năm thứ tư,Trên 3 năm,Miền Trung,5,5,4,5,4,5,5,5,5,5,5,5,5,3,5,5,5,5
4/8/2025 12:01:55,Nữ,Năm thứ hai,1 - 3 năm,Miền Trung,4,5,5,4,3,3,5,5,5,3,4,4,5,5,5,5,5,5
4/8/2025 12:02:04,Nữ,Năm thứ ba,1 - 3 năm,Miền Trung,5,5,5,4,5,5,5,5,5,4,4,4,5,5,5,5,5,5
4/8/2025 12:02:05,Nữ,Năm thứ tư,Trên 3 năm,Miền Trung,5,5,4,5,5,2,2,5,4,4,3,4,5,3,5,5,5,5
4/8/2025 12:02:20,Nữ,Năm thứ hai,1 - 3 năm,Miền Trung,5,5,5,3,2,3,2,2,5,2,2,4,2,3,5,5,5,5
4/8/2025 12:02:28,Nam,Năm thứ ba,1 - 3 năm,Miền Trung,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5
4/8/2025 12:02:33,Nam,Năm thứ ba,1 - 3 năm,Miền Trung,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 12:02:39,Nữ,Năm thứ tư,Trên 3 năm,Miền Trung,5,4,3,4,4,4,4,5,5,4,5,4,4,5,4,4,5,4
4/8/2025 12:02:39,Nữ,Năm thứ ba,1 - 3 năm,Miền Trung,4,4,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4
4/8/2025 12:03:19,Nữ,Năm thứ hai,1 - 3 năm,Miền Trung,5,5,5,5,5,3,5,5,5,5,5,5,5,4,5,5,5,5
